ID_Matches,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Attendance,Half-time Home Goals,Half-time Away Goals
1,France,4,1,Mexico, ,4444,3,0
2,USA,3,0,Belgium, ,18346,2,0
3,Yugoslavia,2,1,Brazil, ,24059,2,0
4,Romania,3,1,Peru, ,2549,1,0
5,Argentina,1,0,France, ,23409,0,0
6,Chile,3,0,Mexico, ,9249,1,0
7,Yugoslavia,4,0,Bolivia, ,18306,0,0
8,USA,3,0,Paraguay, ,18306,2,0
9,Uruguay,1,0,Peru, ,57735,0,0
10,Chile,1,0,France, ,2000,0,0
11,Argentina,6,3,Mexico, ,42100,3,1
12,Brazil,4,0,Bolivia, ,25466,1,0
13,Paraguay,1,0,Belgium, ,12000,1,0
14,Uruguay,4,0,Romania, ,70022,4,0
15,Argentina,3,1,Chile, ,41459,2,1
16,Argentina,6,1,USA, ,72886,1,0
17,Uruguay,6,1,Yugoslavia, ,79867,3,1
18,Uruguay,4,2,Argentina, ,68346,1,2
19,Austria,3,2,France,Austria win after extra time ,16000,0,0
20,Hungary,4,2,Egypt, ,9000,2,2
21,Switzerland,3,2,Netherlands, ,33000,2,1
22,Sweden,3,2,Argentina, ,14000,1,1
23,Germany,5,2,Belgium, ,8000,1,2
24,Spain,3,1,Brazil, ,21000,3,0
25,Italy,7,1,USA, ,25000,3,0
26,Czechoslovakia,2,1,Romania, ,9000,0,1
27,Czechoslovakia,3,2,Switzerland, ,12000,1,1
28,Germany,2,1,Sweden, ,3000,0,0
29,Italy,1,1,Spain, ,35000,0,0
30,Austria,2,1,Hungary, ,23000,1,0
31,Italy,1,0,Spain, ,43000,1,0
32,Italy,1,0,Austria, ,35000,1,0
33,Czechoslovakia,3,1,Germany, ,15000,1,0
34,Germany,3,2,Austria, ,7000,3,1
35,Italy,2,1,Czechoslovakia,Italy win after extra time ,55000,0,0
36,Switzerland,1,1,Germany, ,27152,0,0
37,Hungary,6,0,Dutch East Indies, ,9000,4,0
38,France,3,1,Belgium, ,30454,2,1
39,Cuba,3,3,Romania, ,7000,0,0
40,Italy,2,1,Norway,Italy win after extra time ,19000,0,0
41,Brazil,6,5,Poland,Brazil win after extra time ,13452,0,0
42,Czechoslovakia,3,0,Netherlands,Czechoslovakia win after extra time ,11000,0,0
43,Cuba,2,1,Romania, ,8000,0,1
44,Switzerland,4,2,Germany, ,20025,1,2
45,Brazil,1,1,Czechoslovakia, ,22021,0,0
46,Hungary,2,0,Switzerland, ,15000,1,0
47,Sweden,8,0,Cuba, ,7000,4,0
48,Italy,3,1,France, ,58455,1,1
49,Brazil,2,1,Czechoslovakia, ,18141,0,1
50,Hungary,5,1,Sweden, ,20000,3,1
51,Italy,2,1,Brazil, ,33000,0,0
52,Brazil,4,2,Sweden, ,12000,1,2
53,Italy,4,2,Hungary, ,45000,3,1
54,Brazil,4,0,Mexico, ,81649,1,0
55,England,2,0,Chile, ,29703,1,0
56,Spain,3,1,USA, ,9511,0,1
57,Sweden,3,2,Italy, ,36502,2,1
58,Yugoslavia,3,0,Switzerland, ,7336,0,0
59,Brazil,2,2,Switzerland, ,42032,2,1
60,Yugoslavia,4,1,Mexico, ,11078,2,0
61,Spain,2,0,Chile, ,19790,2,0
62,Sweden,2,2,Paraguay, ,7903,2,1
63,USA,1,0,England, ,10151,1,0
64,Brazil,2,0,Yugoslavia, ,142429,1,0
65,Spain,1,0,England, ,74462,0,0
66,Italy,2,0,Paraguay, ,25811,1,0
67,Uruguay,8,0,Bolivia, ,5284,4,0
68,Switzerland,2,1,Mexico, ,3580,2,0
69,Chile,5,2,USA, ,8501,2,0
70,Uruguay,2,2,Spain, ,44802,1,2
71,Brazil,7,1,Sweden, ,138886,3,0
72,Brazil,6,1,Spain, ,152772,3,0
73,Uruguay,3,2,Sweden, ,7987,1,2
74,Sweden,3,1,Spain, ,11227,2,0
75,Uruguay,2,1,Brazil, ,173850,0,0
