ID_Referee,Referee
1,LOMBARDI Domingo (URU)
2,MACIAS Jose (ARG)
3,TEJADA Anibal (URU)
4,WARNKEN Alberto (CHI)
5,REGO Gilberto (BRA)
6,CRISTOPHE Henry (BEL)
7,MATEUCCI Francisco (URU)
8,LANGENUS Jean (BEL)
9,SAUCEDO Ulises (BOL)
10,BALWAY Thomas (FRA)
11,VALLARINO Ricardo (URU)
12,VAN MOORSEL Johannes (NED)
13,BARLASSINA Rinaldo (ITA)
14,EKLIND Ivan (SWE)
15,BRAUN Eugen (AUT)
16,MATTEA Francesco (ITA)
17,BIRLEM Alfred (GER)
18,MERCET Rene (SUI)
19,BERANEK Alois (AUT)
20,BAERT Louis (BEL)
21,CARRARO Albino (ITA)
22,CONRIE Roger (FRA)
23,WUETHRICH Hans (SUI)
24,SCARPI Giuseppe (ITA)
25,LECLERCQ Lucien (FRA)
26,VON HERTZKA Pal (HUN)
27,KRIST Gustav (TCH)
28,CAPDEVILLE Georges (FRA)
29,READER George (ENG)
30,VAN DER MEER Karel (NED)
31,VIANA Mario (BRA)
32,LUTZ Jean (SUI)
33,GALEATI Giovanni (ITA)
34,AZON ROMA Ramon (ESP)
35,LEAFE Reginald (ENG)
36,MALCHER Alberto (BRA)
37,MITCHELL Robert (SCO)
38,DATTILO Generoso (ITA)
39,GRIFFITHS Benjamin (WAL)
40,ELLIS Arthur (ENG)
41,GARDELLI Mario (BRA)
42,FRANKEN Laurent (BEL)
43,WYSSLING Paul (SUI)
44,DA COSTA VIEIRA Jose (POR)
45,VINCENTI Raymond (FRA)
46,SCHMETZER Emil (FRG)
47,ORLANDINI Vincenzo (ITA)
48,STEFANOVIC Vasa (YUG)
49,ASENSI Manuel (ESP)
50,FAULTLESS Charlie (SCO)
51,LING William (ENG)
52,MARINO Esteban (URU)
53,ZSOLT Istvan (HUN)
54,STEINER Carl (AUT)
55,LATYCHEV Nikolaj (URS)
56,CODESAL Jose Maria (URU)
57,GARDEAZABAL Juan (ESP)
58,GUIGUE Maurice (FRA)
59,SEIPELT Fritz (AUT)
60,DUSCH Albert (GER)
61,LEMESIC Leo (YUG)
62,JORGENSEN Carl Frederik (DEN)
63,AHLNER Sten (SWE)
64,MOWAT Jack (SCO)
65,VAN NUFFEL Lucien (BEL)
66,FERNANDES CAMPOS Joaquim (POR)
67,ERIKSSON Arne (FIN)
68,MACKO Martin (TCH)
69,BROZZI Juan (ARG)
70,BRONKHORST Jan (NED)
71,DOROGI Andor (HUN)
72,DIENST Gottfried (SUI)
73,ASTON Ken (ENG)
74,HORN Leo (NED)
75,DAVIDSON Bob (SCO)
76,GALBA Karol (TCH)
77,SCHWINTE Pierre (FRA)
78,ETZEL FILHO Joao (BRA)
79,TESANIC Branko (YUG)
80,JONNI Cesare (ITA)
81,BUSTAMANTE Sergio (CHI)
82,YAMASAKI MALDONADO Arturo (MEX)
83,ROBLES Carlos (CHI)
84,BLAVIER Arthur (BEL)
85,PHILLIPS Hugh (SCO)
86,TSCHENSCHER Kurt (GER)
87,ASHKENAZI Menachem (ISR)
88,CALLAGHAN Leo (WAL)
89,RUMENTCHEV Dimitar (BUL)
90,BAKHRAMOV Tofik (URS)
91,DAGNALL Kenneth (ENG)
92,KANDIL Aly Hussein (EGY)
93,ZECEVIC Konstantin (YUG)
94,KREITLEIN Rudolf (GER)
95,LO BELLO Concetto (ITA)
96,LOEOEW Bertil (SWE)
97,McCABE George (ENG)
98,GOICOECHEA Roberto (ARG)
99,MARQUES Armando (BRA)
100,ADAIR John (NIR)
101,FINNEY Jim (ENG)
102,SBARDELLA Antonio (ITA)
103,LORAUX Vital (BEL)
104,TAYLOR John (ENG)
105,VAN RAVENS Laurens (NED)
106,BARRETO RUIZ Ramon (URU)
107,RADULESCU Andrei (ROU)
108,GLOECKNER Rudolf (GDR)
109,DE LEO Diego (MEX)
110,SCHEURER Ruedi (SUI)
111,TAREKEGN Seyoum (ETH)
112,ORTIZ DE MENDIBIL Jose Maria (ESP)
113,KLEIN Abraham (ISR)
114,LANDAUER Henry (USA)
115,AGUILAR ELIZALDE Abel (MEX)
116,MARSCHALL Ferdinand (AUT)
117,HORMAZABAL DIAZ Rafael (CHI)
118,DE MORAES Ayrton Vieira (BRA)
119,SALDANHA RIBEIRO Antonio (POR)
120,MACHIN Roger (FRA)
121,COEREZZA Norberto Angel (ARG)
122,BABACAN Dogan (TUR)
123,NDIAYE Youssou (SEN)
124,SCHULENBURG Gerhard (GER)
125,PALOTAI Karoly (HUN)
126,PEREZ NUNEZ Edison A. (PER)
127,LLOBREGAT Vicente (VEN)
128,THOMAS Clive (WAL)
129,KAMEL Mahmoud (EGY)
130,VAN GEMERT Arie (NED)
131,ANGONESE Aurelio (ITA)
132,DELGADO Omar (COL)
133,WINSEMANN Werner (CAN)
134,SUPPIAH George (SIN)
135,KAZAKOV Pavel (URS)
136,GONZALEZ ARCHUNDIA Alfonso (MEX)
137,NAMDAR Jafar (IRN)
138,RAINEA Nicolae (ROU)
139,BOSKOVIC Tony (AUS)
140,SANCHEZ IBANEZ Pablo (ESP)
141,LINEMAYR Erich (AUT)
142,WEYLAND Hans Joachim (FRG)
143,PESTARINO Luis (ARG)
144,GORDON John (SCO)
145,GARRIDO Antonio (POR)
146,ERIKSSON Ulf (SWE)
147,MARTINEZ Angel (ESP)
148,BOUZO Farouk (SYR)
149,DUBACH Jean (SUI)
150,GONELLA Sergio (ITA)
151,CORVER Charles (NED)
152,PROKOP Adolf (GDR)
153,COELHO Arnaldo (BRA)
154,OROZCO GUERRERO Cesar (PER)
155,WURTZ Robert (FRA)
156,BIWERSI Ferdinand (GER)
157,JARGUZ Alojzy (POL)
158,MAKSIMOVIC Dusan (SCG)
159,PARTRIDGE Pat (ENG)
160,RION Francis (BEL)
161,SILVAGNO CAVANNA Juan (CHI)
162,CHRISTOV Vojtech (TCH)
163,VAUTROT Michel (FRA)
164,LAMO CASTILLO Augusto (ESP)
165,WOEHRER Franz (AUT)
166,AL DOY Ebrahim (BHR)
167,SOCHA David (USA)
168,LABO REVOREDO Enrique (PER)
169,ITHURRALDE Arturo Andres (ARG)
