ID_Sta_City,Stadium,City
1,Pocitos,Montevideo 
2,Parque Central,Montevideo 
3,Estadio Centenario,Montevideo 
4,Stadio Benito Mussolini,Turin 
5,Giorgio Ascarelli,Naples 
6,San Siro,Milan 
7,Littorale,Bologna 
8,Giovanni Berta,Florence 
9,Luigi Ferraris,Genoa 
10,Nazionale PNF,Rome 
11,Littorio,Trieste 
12,Parc des Princes,Paris 
13,Velodrome Municipale,Reims 
14,Stade Olympique,Colombes 
15,Stade Municipal,Toulouse 
16,Stade V�lodrome,Marseilles 
17,Stade de la Meinau,Strasbourg 
18,Cavee Verte,Le Havre 
19,Stade du Parc Lescure,Bordeaux 
20,Victor Boucquey,Lille 
21,Fort Carree,Antibes 
22,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro 
23,Durival de Brito,Curitiba 
24,Pacaembu,Sao Paulo 
25,Independencia,Belo Horizonte 
26,Eucaliptos,Porto Alegre 
27,Ilha do Retiro,Recife 
28,Wankdorf Stadium,Berne 
29,Hardturm,Zurich 
30,Charmilles,Geneva 
31,La Pontaise,Lausanne 
32,St. Jakob,Basel 
33,Comunale di Cornaredo,Lugano 
34,Rasunda Stadium,Solna 
35,Nya Ullevi,Gothenburg 
36,Malmo Stadion,Malm� 
37,Jarnvallen,Sandviken 
38,Idrottsparken,Norrk�Ping 
39,Arosvallen,Vasteras 
40,Rimnersvallen,Udevalla 
41,Orjans Vall,Halmstad 
42,Ryavallen,Boras 
43,Olympia Stadium,Helsingborg 
44,Tunavallen,Eskilstuna 
45,Eyravallen,Orebro 
46,Carlos Dittborn,Arica 
47,Estadio Sausalito,Vina Del Mar 
48,Estadio El Teniente-Codelco,Rancagua 
49,Nacional,Santiago De Chile 
50,Wembley Stadium,London 
51,Hillsborough,Sheffield 
52,Goodison Park,Liverpool 
53,Ayresome Park,Middlesbrough 
54,Old Trafford Stadium,Manchester 
55,Villa Park,Birmingham 
56,Roker Park Ground,Sunderland 
57,White City,London 
58,Estadio Azteca,Mexico City 
59,Cuauhtemoc,Puebla 
60,Nou Camp - Estadio Le�n,Leon 
61,Jalisco,Guadalajara 
62,Luis Dosal,Toluca 
63,Waldstadion,Frankfurt/Main 
64,Olympiastadion,Berlin West 
65,Volksparkstadion,Hamburg 
66,Westfalenstadion,Dortmund 
67,Niedersachsenstadion,Hanover 
68,Rheinstadion,D�Sseldorf 
69,Olympiastadion,Munich 
70,Neckarstadion,Stuttgart 
71,Parkstadion,Gelsenkirchen 
72,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires 
73,Estadio Jos� Mar�a Minella,Mar Del Plata 
74,Arroyito - Estadio Dr. Lisandro de la Torre,Rosario 
75,Jose Amalfitani,Buenos Aires 
76,Estadio Ol�mpico Chateau Carreras,Cordoba 
77,San Martin,Mendoza 
78,Camp Nou,Barcelona 
79,Estadio Municipal de Bala�dos,Vigo 
80,Ramon Sanchez Pizjuan,Seville 
81,Riazor,La Coru�A 
82,Nuevo Estadio,Elche 
83,La Rosaleda,Malaga 
84,El Molinon,Gijon 
85,San Mames,Bilbao 
