Fact_ID,Year,Datetime,ID_Stage_Round,ID_Matches,ID_Sta_City,Result HaftTime Home,Result HaftTime Away,ID_Referee,Result Home,Result Away
1,1930,13 Jul 1930 - 15:00 ,1,1,1,1,3,1,1,3
2,1930,13 Jul 1930 - 15:00 ,2,2,2,1,3,2,1,3
3,1930,14 Jul 1930 - 12:45 ,3,3,2,1,3,3,1,3
4,1930,14 Jul 1930 - 14:50 ,4,4,1,1,3,4,1,3
5,1930,15 Jul 1930 - 16:00 ,1,5,2,2,2,5,1,3
6,1930,16 Jul 1930 - 14:45 ,1,6,2,1,3,6,1,3
7,1930,17 Jul 1930 - 12:45 ,3,7,2,2,2,7,1,3
8,1930,17 Jul 1930 - 14:45 ,2,8,2,1,3,2,1,3
9,1930,18 Jul 1930 - 14:30 ,4,9,3,2,2,8,1,3
10,1930,19 Jul 1930 - 12:50 ,1,10,3,2,2,3,1,3
11,1930,19 Jul 1930 - 15:00 ,1,11,3,1,3,9,1,3
12,1930,20 Jul 1930 - 13:00 ,3,12,3,1,3,10,1,3
13,1930,20 Jul 1930 - 15:00 ,2,13,3,1,3,11,1,3
14,1930,21 Jul 1930 - 14:50 ,4,14,3,1,3,5,1,3
15,1930,22 Jul 1930 - 14:45 ,1,15,3,1,3,8,1,3
16,1930,26 Jul 1930 - 14:45 ,5,16,3,1,3,8,1,3
17,1930,27 Jul 1930 - 14:45 ,5,17,3,1,3,5,1,3
18,1930,30 Jul 1930 - 14:15 ,6,18,3,3,1,8,1,3
19,1934,27 May 1934 - 16:30 ,7,19,4,2,2,12,1,3
20,1934,27 May 1934 - 16:30 ,7,20,5,2,2,13,1,3
21,1934,27 May 1934 - 16:30 ,7,21,6,1,3,14,1,3
22,1934,27 May 1934 - 16:30 ,7,22,7,2,2,15,1,3
23,1934,27 May 1934 - 16:30 ,7,23,8,3,1,16,1,3
24,1934,27 May 1934 - 16:30 ,7,24,9,1,3,17,1,3
25,1934,27 May 1934 - 16:30 ,7,25,10,1,3,18,1,3
26,1934,27 May 1934 - 16:30 ,7,26,11,3,1,8,1,3
27,1934,31 May 1934 - 16:30 ,8,27,4,2,2,19,1,3
28,1934,31 May 1934 - 16:30 ,8,28,6,2,2,13,1,3
29,1934,31 May 1934 - 16:30 ,8,29,8,2,2,20,2,2
30,1934,31 May 1934 - 16:30 ,8,30,7,1,3,16,1,3
31,1934,01 Jun 1934 - 16:30 ,8,31,8,1,3,18,1,3
32,1934,03 Jun 1934 - 16:30 ,9,32,6,1,3,14,1,3
33,1934,03 Jun 1934 - 16:30 ,9,33,10,1,3,13,1,3
34,1934,07 Jun 1934 - 18:00 ,10,34,5,1,3,21,1,3
35,1934,10 Jun 1934 - 17:30 ,11,35,10,2,2,14,1,3
36,1938,04 Jun 1938 - 17:00 ,12,36,12,2,2,8,2,2
37,1938,05 Jun 1938 - 17:00 ,12,37,13,1,3,22,1,3
38,1938,05 Jun 1938 - 17:00 ,12,38,14,1,3,23,1,3
39,1938,05 Jun 1938 - 17:00 ,12,39,15,2,2,24,2,2
40,1938,05 Jun 1938 - 17:00 ,12,40,16,2,2,19,1,3
41,1938,05 Jun 1938 - 17:30 ,12,41,17,2,2,14,1,3
42,1938,05 Jun 1938 - 18:30 ,12,42,18,2,2,25,1,3
43,1938,09 Jun 1938 - 18:00 ,12,43,15,3,1,17,1,3
44,1938,09 Jun 1938 - 18:00 ,12,44,12,3,1,14,1,3
45,1938,12 Jun 1938 - 17:00 ,13,45,19,2,2,26,2,2
46,1938,12 Jun 1938 - 17:00 ,13,46,20,1,3,13,1,3
47,1938,12 Jun 1938 - 17:00 ,13,47,21,1,3,27,1,3
48,1938,12 Jun 1938 - 17:00 ,13,48,14,2,2,20,1,3
49,1938,14 Jun 1938 - 18:00 ,13,49,19,3,1,28,1,3
50,1938,16 Jun 1938 - 18:00 ,14,50,12,1,3,25,1,3
51,1938,16 Jun 1938 - 18:00 ,14,51,16,2,2,23,1,3
52,1938,19 Jun 1938 - 17:00 ,15,52,19,3,1,8,1,3
53,1938,19 Jun 1938 - 17:00 ,16,53,14,1,3,28,1,3
54,1950,24 Jun 1950 - 15:00 ,17,54,22,1,3,29,1,3
55,1950,25 Jun 1950 - 15:00 ,18,55,22,1,3,30,1,3
56,1950,25 Jun 1950 - 15:00 ,18,56,23,3,1,31,1,3
57,1950,25 Jun 1950 - 15:00 ,19,57,24,1,3,32,1,3
58,1950,25 Jun 1950 - 15:00 ,17,58,25,2,2,33,1,3
59,1950,28 Jun 1950 - 15:00 ,17,59,24,1,3,34,2,2
60,1950,28 Jun 1950 - 15:00 ,17,60,26,1,3,35,1,3
61,1950,29 Jun 1950 - 15:00 ,18,61,22,1,3,36,1,3
62,1950,29 Jun 1950 - 15:30 ,19,62,23,1,3,37,2,2
63,1950,29 Jun 1950 - 15:00 ,18,63,25,1,3,38,1,3
64,1950,01 Jul 1950 - 15:00 ,17,64,22,1,3,39,1,3
65,1950,02 Jul 1950 - 15:00 ,18,65,22,2,2,33,1,3
66,1950,02 Jul 1950 - 15:00 ,19,66,24,1,3,40,1,3
67,1950,02 Jul 1950 - 15:00 ,20,67,25,1,3,29,1,3
68,1950,02 Jul 1950 - 15:40 ,17,68,26,1,3,14,1,3
69,1950,02 Jul 1950 - 15:00 ,18,69,27,1,3,41,1,3
70,1950,09 Jul 1950 - 15:00 ,21,70,24,3,1,39,2,2
71,1950,09 Jul 1950 - 15:00 ,21,71,22,1,3,40,1,3
72,1950,13 Jul 1950 - 15:00 ,21,72,22,1,3,35,1,3
73,1950,13 Jul 1950 - 15:00 ,21,73,24,3,1,33,1,3
74,1950,16 Jul 1950 - 15:00 ,21,74,24,1,3,30,1,3
75,1950,16 Jul 1950 - 15:00 ,21,75,22,2,2,29,1,3
76,1954,16 Jun 1954 - 18:00 ,22,76,28,2,2,40,1,3
77,1954,16 Jun 1954 - 18:00 ,22,77,29,1,3,42,1,3
78,1954,16 Jun 1954 - 18:00 ,23,78,30,1,3,43,1,3
79,1954,16 Jun 1954 - 18:00 ,23,79,31,1,3,39,1,3
80,1954,17 Jun 1954 - 18:00 ,24,80,28,2,2,44,1,3
81,1954,17 Jun 1954 - 18:00 ,24,81,29,1,3,45,1,3
82,1954,17 Jun 1954 - 18:10 ,25,82,32,2,2,46,2,2
83,1954,17 Jun 1954 - 17:50 ,25,83,31,2,2,31,1,3
84,1954,19 Jun 1954 - 16:50 ,22,84,32,1,3,47,1,3
85,1954,19 Jun 1954 - 17:00 ,22,85,29,1,3,48,1,3
86,1954,19 Jun 1954 - 17:10 ,23,86,30,1,3,49,1,3
87,1954,19 Jun 1954 - 17:00 ,23,87,31,2,2,50,2,2
88,1954,20 Jun 1954 - 16:50 ,24,88,32,1,3,51,1,3
89,1954,20 Jun 1954 - 17:00 ,24,89,30,1,3,52,1,3
90,1954,20 Jun 1954 - 17:10 ,25,90,28,1,3,53,1,3
91,1954,20 Jun 1954 - 17:00 ,25,91,33,1,3,54,1,3
92,1954,23 Jun 1954 - 18:00 ,24,92,29,1,3,45,1,3
93,1954,23 Jun 1954 - 18:00 ,25,93,32,1,3,39,1,3
94,1954,26 Jun 1954 - 17:00 ,26,94,32,1,3,54,1,3
95,1954,26 Jun 1954 - 17:00 ,26,95,31,1,3,50,1,3
96,1954,27 Jun 1954 - 17:00 ,26,96,30,1,3,53,1,3
97,1954,27 Jun 1954 - 17:00 ,26,97,28,1,3,40,1,3
98,1954,30 Jun 1954 - 18:00 ,27,98,32,1,3,47,1,3
99,1954,30 Jun 1954 - 18:00 ,27,99,31,2,2,39,1,3
100,1954,03 Jul 1954 - 17:00 ,28,100,29,2,2,43,1,3
101,1954,04 Jul 1954 - 17:00 ,29,101,28,2,2,51,1,3
102,1958,08 Jun 1958 - 14:00 ,30,102,34,1,3,55,1,3
103,1958,08 Jun 1958 - 19:00 ,31,103,35,1,3,53,2,2
104,1958,08 Jun 1958 - 19:00 ,32,104,36,3,1,35,3,1
